"","calories","total_fat_g","cholesterol_mg","sodium_mg","total_carbs_g","sugar_g","caffeine_mg"
"1",-1.63718867421347,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,0.488351738845575
"2",-1.62992497381459,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,1.29491566736816
"3",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,2.15269000405091
"4",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,3.17689816725419
"5",-1.63718867421347,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,-0.983947495759143
"6",-1.62992497381459,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,-0.919934485558937
"7",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,-0.855921475358732
"8",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.39276374023116,-1.62135513870166,-1.55817328378322,-0.791908465158527
"9",-1.63718867421347,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,0.808416789846601
"10",-1.62992497381459,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,1.83262495304988
"11",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,2.79282010605296
"12",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,4.07308031005706
"13",-1.63718867421347,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,1.12848184084763
"14",-1.62992497381459,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,2.28071602445132
"15",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,3.43295020805501
"16",-1.6226612734157,-1.02016876575645,-0.848109811836737,-1.4464745795675,-1.62135513870166,-1.55817328378322,4.90524944265973
"17",-1.40475026144907,-1.02016876575645,-0.848109811836737,-1.01678786487675,-1.40641623945167,-1.33554382658457,-0.215791373356681
"18",-1.29579475546575,-0.701701218920992,-0.291693891127055,-0.963077025540407,-1.40641623945167,-1.33554382658457,-0.215791373356681
"19",-1.15052074748799,-0.450279471419312,-0.291693891127055,-0.963077025540407,-1.40641623945167,-1.33554382658457,-0.215791373356681
"20",-1.36843175945463,-0.785508468088218,-0.848109811836737,-1.07049870421309,-1.49239179915167,-1.46912150090376,-0.215791373356681
"21",-1.36843175945463,-0.617893969753765,-0.848109811836737,-1.01678786487675,-1.44940401930167,-1.42459560946403,-0.215791373356681
"22",-1.22315775147687,-1.00340731592301,-0.569901851481896,-0.748233668195032,-1.27745289990167,-1.20196615226538,0.29631270824496
"23",-1.07788374349912,-0.534086720586538,-0.0134859307722138,-0.640811989522345,-1.27745289990167,-1.20196615226538,0.29631270824496
"24",-0.932609735521362,-0.198857723917632,-0.0134859307722138,-0.748233668195032,-1.27745289990167,-1.20196615226538,0.29631270824496
